,counter(mins),Dos,scan44,scan11,nerisbotnet,blacklist,anomaly-udpscan,anomaly-sshscan,anomaly-spam
2016-04-25 00:00:00,54073,0,0,0,0,1,0,0,0
2016-04-25 00:01:00,54074,0,0,0,0,1,0,0,0
2016-04-25 00:02:00,54075,0,0,0,0,1,0,0,0
2016-04-25 00:03:00,54076,0,0,0,0,1,0,0,0
2016-04-25 00:04:00,54077,0,0,0,0,1,0,0,0
2016-04-25 00:05:00,54078,0,0,0,0,1,0,0,0
2016-04-25 00:06:00,54079,0,0,0,0,1,0,0,0
2016-04-25 00:07:00,54080,0,0,0,0,1,0,0,0
2016-04-25 00:08:00,54081,0,0,0,0,1,0,0,0
2016-04-25 00:09:00,54082,0,0,0,0,1,0,0,0
2016-04-25 00:10:00,54083,0,0,0,0,1,0,0,0
2016-04-25 00:11:00,54084,0,0,0,0,1,0,0,0
2016-04-25 00:12:00,54085,0,0,0,0,1,0,0,0
2016-04-25 00:13:00,54086,0,0,0,0,1,0,0,0
2016-04-25 00:14:00,54087,0,0,0,0,1,0,0,0
2016-04-25 00:15:00,54088,0,0,0,0,1,0,0,0
2016-04-25 00:16:00,54089,0,0,0,0,1,0,0,0
2016-04-25 00:17:00,54090,0,0,0,0,1,0,0,0
2016-04-25 00:18:00,54091,0,0,0,0,1,0,0,0
2016-04-25 00:19:00,54092,0,0,0,0,1,0,0,0
2016-04-25 00:20:00,54093,0,0,0,0,1,0,0,0
2016-04-25 00:21:00,54094,0,0,0,0,1,0,0,0
2016-04-25 00:22:00,54095,0,0,0,0,1,0,0,0
2016-04-25 00:23:00,54096,0,0,0,0,1,0,0,0
2016-04-25 00:24:00,54097,0,0,0,0,1,0,0,0
2016-04-25 00:25:00,54098,0,0,0,0,1,0,0,0
2016-04-25 00:26:00,54099,0,0,0,0,1,0,0,0
2016-04-25 00:27:00,54100,0,0,0,0,1,0,0,0
2016-04-25 00:28:00,54101,0,0,0,0,1,0,0,0
2016-04-25 00:29:00,54102,0,0,0,0,1,0,0,0
2016-04-25 00:30:00,54103,0,0,0,0,1,0,0,0
2016-04-25 00:31:00,54104,0,0,0,0,1,0,0,0
2016-04-25 00:32:00,54105,0,0,0,0,1,0,0,0
2016-04-25 00:33:00,54106,0,0,0,0,1,0,0,0
2016-04-25 00:34:00,54107,0,0,0,0,1,0,0,0
2016-04-25 00:35:00,54108,0,0,0,0,1,0,0,0
2016-04-25 00:36:00,54109,0,0,0,0,1,0,0,0
2016-04-25 00:37:00,54110,0,0,0,0,1,0,0,0
2016-04-25 00:38:00,54111,0,0,0,0,1,0,0,0
2016-04-25 00:39:00,54112,0,0,0,0,1,0,0,0
2016-04-25 00:40:00,54113,0,0,0,0,1,0,0,0
2016-04-25 00:41:00,54114,0,0,0,0,1,0,0,0
2016-04-25 00:42:00,54115,0,0,0,0,1,0,0,0
2016-04-25 00:43:00,54116,0,0,0,0,1,0,0,0
2016-04-25 00:44:00,54117,0,0,0,0,1,0,0,0
2016-04-25 00:45:00,54118,0,0,0,0,1,0,0,0
2016-04-25 00:46:00,54119,0,0,0,0,1,0,0,0
2016-04-25 00:47:00,54120,0,0,0,0,1,0,0,0
2016-04-25 00:48:00,54121,0,0,0,0,1,0,0,0
2016-04-25 00:49:00,54122,0,0,0,0,1,0,0,0
2016-04-25 00:50:00,54123,0,0,0,0,1,0,0,0
2016-04-25 00:51:00,54124,0,0,0,0,1,0,0,0
2016-04-25 00:52:00,54125,0,0,0,0,1,0,0,0
2016-04-25 00:53:00,54126,0,0,0,0,1,0,0,0
2016-04-25 00:54:00,54127,0,0,0,0,1,0,0,0
2016-04-25 00:55:00,54128,0,0,0,0,1,0,0,0
2016-04-25 00:56:00,54129,0,0,0,0,1,0,0,0
2016-04-25 00:57:00,54130,0,0,0,0,1,0,0,0
2016-04-25 00:58:00,54131,0,0,0,0,1,0,0,0
2016-04-25 00:59:00,54132,0,0,0,0,1,0,0,0
2016-04-25 01:00:00,54133,0,0,0,0,1,0,0,0
2016-04-25 01:01:00,54134,0,0,0,0,1,0,0,0
2016-04-25 01:02:00,54135,0,0,0,0,1,0,0,0
2016-04-25 01:03:00,54136,0,0,0,0,1,0,0,0
2016-04-25 01:04:00,54137,0,0,0,0,1,0,0,0
2016-04-25 01:05:00,54138,0,0,0,0,1,0,0,0
2016-04-25 01:06:00,54139,0,0,0,0,1,0,0,0
