,counter(mins),Dos,scan44,scan11,nerisbotnet,blacklist,anomaly-udpscan,anomaly-sshscan,anomaly-spam
2016-08-08 00:00:00,16462,0,0,0,0,1,0,0,1
2016-08-08 00:01:00,16463,0,0,0,0,1,0,0,1
2016-08-08 00:02:00,16464,0,0,0,0,1,0,0,1
2016-08-08 00:03:00,16465,0,0,0,0,1,0,0,1
2016-08-08 00:04:00,16466,0,0,0,0,1,0,0,1
2016-08-08 00:05:00,16467,0,0,0,0,1,0,0,1
2016-08-08 00:06:00,16468,0,0,0,0,1,0,0,1
2016-08-08 00:07:00,16469,0,0,0,0,1,0,0,1
2016-08-08 00:08:00,16470,0,0,0,0,1,0,0,1
2016-08-08 00:09:00,16471,0,0,0,0,1,0,0,1
2016-08-08 00:10:00,16472,0,0,0,0,1,0,0,1
2016-08-08 00:11:00,16473,0,0,0,0,1,0,0,1
2016-08-08 00:12:00,16474,0,0,0,0,1,0,0,1
2016-08-08 00:13:00,16475,0,0,0,0,1,0,0,1
2016-08-08 00:14:00,16476,0,0,0,0,1,0,0,1
2016-08-08 00:15:00,16477,0,0,0,0,1,0,0,1
2016-08-08 00:16:00,16478,0,0,0,0,1,0,0,1
2016-08-08 00:17:00,16479,0,0,0,0,1,0,0,1
2016-08-08 00:18:00,16480,0,0,0,0,1,0,0,1
2016-08-08 00:19:00,16481,0,0,0,0,1,0,0,1
2016-08-08 00:20:00,16482,0,0,0,0,1,0,0,1
2016-08-08 00:21:00,16483,0,0,0,0,1,0,0,1
2016-08-08 00:22:00,16484,0,0,0,0,1,0,0,1
2016-08-08 00:23:00,16485,0,0,0,0,1,0,0,1
2016-08-08 00:24:00,16486,0,0,0,0,1,0,0,1
2016-08-08 00:25:00,16487,0,0,0,0,1,0,0,1
2016-08-08 00:26:00,16488,0,0,0,0,1,0,0,1
2016-08-08 00:27:00,16489,0,0,0,0,1,0,0,1
2016-08-08 00:28:00,16490,0,0,0,0,1,0,0,1
2016-08-08 00:29:00,16491,0,0,0,0,1,0,0,1
2016-08-08 00:30:00,16492,0,0,0,0,1,0,0,1
2016-08-08 00:31:00,16493,0,0,0,0,1,0,0,1
2016-08-08 00:32:00,16494,0,0,0,0,1,0,0,1
2016-08-08 00:33:00,16495,0,0,0,0,1,0,0,1
2016-08-08 00:34:00,16496,0,0,0,0,1,0,0,1
2016-08-08 00:35:00,16497,0,0,0,0,1,0,0,1
2016-08-08 00:36:00,16498,0,0,0,0,1,0,0,1
2016-08-08 00:37:00,16499,0,0,0,0,1,0,0,1
2016-08-08 00:38:00,16500,0,0,0,0,1,0,0,1
2016-08-08 00:39:00,16501,0,0,0,0,1,0,0,1
2016-08-08 00:40:00,16502,0,0,0,0,1,0,0,1
2016-08-08 00:41:00,16503,0,0,0,0,1,0,0,1
2016-08-08 00:42:00,16504,0,0,0,0,1,0,0,1
2016-08-08 00:43:00,16505,0,0,0,0,1,0,0,1
2016-08-08 00:44:00,16506,0,0,0,0,1,0,0,1
2016-08-08 00:45:00,16507,0,0,0,0,1,0,0,1
2016-08-08 00:46:00,16508,0,0,0,0,1,0,0,1
2016-08-08 00:47:00,16509,0,0,0,0,1,0,0,1
2016-08-08 00:48:00,16510,0,0,0,0,1,0,0,1
2016-08-08 00:49:00,16511,0,0,0,0,1,0,0,1
2016-08-08 00:50:00,16512,0,0,0,0,1,0,0,1
2016-08-08 00:51:00,16513,0,0,0,0,1,0,0,1
2016-08-08 00:52:00,16514,0,0,0,0,1,0,0,1
2016-08-08 00:53:00,16515,0,0,0,0,1,0,0,1
2016-08-08 00:54:00,16516,0,0,0,0,1,0,0,1
2016-08-08 00:55:00,16517,0,0,0,0,1,0,0,1
2016-08-08 00:56:00,16518,0,0,0,0,1,0,0,1
2016-08-08 00:57:00,16519,0,0,0,0,1,0,0,1
2016-08-08 00:58:00,16520,0,0,0,0,1,0,0,1
2016-08-08 00:59:00,16521,0,0,0,0,1,0,0,1
2016-08-08 01:00:00,16522,0,0,0,0,1,0,0,1
2016-08-08 01:01:00,16523,0,0,0,0,1,0,0,1
2016-08-08 01:02:00,16524,0,0,0,0,1,0,0,1
2016-08-08 01:03:00,16525,0,0,0,0,1,0,0,1
2016-08-08 01:04:00,16526,0,0,0,0,1,0,0,1
2016-08-08 01:05:00,16527,0,0,0,0,1,0,0,1
2016-08-08 01:06:00,16528,0,0,0,0,1,0,0,1
2016-08-08 01:07:00,16529,0,0,0,0,1,0,0,1
2016-08-08 01:08:00,16530,0,0,0,0,1,0,0,1
2016-08-08 01:09:00,16531,0,0,0,0,1,0,0,1
2016-08-08 01:10:00,16532,0,0,0,0,1,0,0,1
2016-08-08 01:11:00,16533,0,0,0,0,1,0,0,1
2016-08-08 01:12:00,16534,0,0,0,0,1,0,0,1
2016-08-08 01:13:00,16535,0,0,0,0,1,0,0,1
2016-08-08 01:14:00,16536,0,0,0,0,1,0,0,1
2016-08-08 01:15:00,16537,0,0,0,0,1,0,0,1
2016-08-08 01:16:00,16538,0,0,0,0,1,0,0,1
2016-08-08 01:17:00,16539,0,0,0,0,1,0,0,1
2016-08-08 01:18:00,16540,0,0,0,0,1,0,0,1
2016-08-08 01:19:00,16541,0,0,0,0,1,0,0,1
2016-08-08 01:20:00,16542,0,0,0,0,1,0,0,1
2016-08-08 01:21:00,16543,0,0,0,0,1,0,0,1
2016-08-08 01:22:00,16544,0,0,0,0,1,0,0,1
2016-08-08 01:23:00,16545,0,0,0,0,1,0,0,1
2016-08-08 01:24:00,16546,0,0,0,0,1,0,0,1
2016-08-08 01:25:00,16547,0,0,0,0,1,0,0,1
2016-08-08 01:26:00,16548,0,0,0,0,1,0,0,1
2016-08-08 01:27:00,16549,0,0,0,0,1,0,0,1
2016-08-08 01:28:00,16550,0,0,0,0,1,0,0,1
2016-08-08 01:29:00,16551,0,0,0,0,1,0,0,1
2016-08-08 01:30:00,16552,0,0,0,0,1,0,0,1
