,counter(mins),Dos,scan44,scan11,nerisbotnet,blacklist,anomaly-udpscan,anomaly-sshscan,anomaly-spam
2016-06-01 00:00:00,107353,0,0,0,0,1,0,0,0
2016-06-01 00:01:00,107354,0,0,0,0,1,0,0,0
2016-06-01 00:02:00,107355,0,0,0,0,1,0,0,0
2016-06-01 00:03:00,107356,0,0,0,0,1,0,0,0
2016-06-01 00:04:00,107357,0,0,0,0,1,0,0,0
2016-06-01 00:05:00,107358,0,0,0,0,1,0,0,0
2016-06-01 00:06:00,107359,0,0,0,0,1,0,0,0
2016-06-01 00:07:00,107360,0,0,0,0,1,0,0,0
2016-06-01 00:08:00,107361,0,0,0,0,1,0,0,0
2016-06-01 00:09:00,107362,0,0,0,0,1,0,0,0
2016-06-01 00:10:00,107363,0,0,0,0,1,0,0,0
2016-06-01 00:11:00,107364,0,0,0,0,1,0,0,0
2016-06-01 00:12:00,107365,0,0,0,0,1,0,0,0
2016-06-01 00:13:00,107366,0,0,0,0,1,0,0,0
2016-06-01 00:14:00,107367,0,0,0,0,1,0,0,0
2016-06-01 00:15:00,107368,0,0,0,0,1,0,0,0
2016-06-01 00:16:00,107369,0,0,0,0,1,0,0,0
2016-06-01 00:17:00,107370,0,0,0,0,1,0,0,0
2016-06-01 00:18:00,107371,0,0,0,0,1,0,0,0
2016-06-01 00:19:00,107372,0,0,0,0,1,0,0,0
2016-06-01 00:20:00,107373,0,0,0,0,1,0,0,0
2016-06-01 00:21:00,107374,0,0,0,0,1,0,0,0
2016-06-01 00:22:00,107375,0,0,0,0,1,0,0,0
2016-06-01 00:23:00,107376,0,0,0,0,1,0,0,0
2016-06-01 00:24:00,107377,0,0,0,0,1,0,0,0
2016-06-01 00:25:00,107378,0,0,0,0,1,0,0,0
2016-06-01 00:26:00,107379,0,0,0,0,1,0,0,0
2016-06-01 00:27:00,107380,0,0,0,0,1,0,0,0
2016-06-01 00:28:00,107381,0,0,0,0,1,0,0,0
2016-06-01 00:29:00,107382,0,0,0,0,1,0,0,0
2016-06-01 00:30:00,107383,0,0,0,0,1,0,0,0
2016-06-01 00:31:00,107384,0,0,0,0,1,0,0,0
2016-06-01 00:32:00,107385,0,0,0,0,1,0,0,0
2016-06-01 00:33:00,107386,0,0,0,0,1,0,0,0
2016-06-01 00:34:00,107387,0,0,0,0,1,0,0,0
2016-06-01 00:35:00,107388,0,0,0,0,1,0,0,0
2016-06-01 00:36:00,107389,0,0,0,0,1,0,0,0
2016-06-01 00:37:00,107390,0,0,0,0,1,0,0,0
2016-06-01 00:38:00,107391,0,0,0,0,1,0,0,0
2016-06-01 00:39:00,107392,0,0,0,0,1,0,0,0
2016-06-01 00:40:00,107393,0,0,0,0,1,0,0,0
2016-06-01 00:41:00,107394,0,0,0,0,1,0,0,0
2016-06-01 00:42:00,107395,0,0,0,0,1,0,0,0
2016-06-01 00:43:00,107396,0,0,0,0,1,0,1,0
2016-06-01 00:44:00,107397,0,0,0,0,1,0,0,0
2016-06-01 00:45:00,107398,0,0,0,0,1,0,0,0
2016-06-01 00:46:00,107399,0,0,0,0,1,0,0,0
2016-06-01 00:47:00,107400,0,0,0,0,1,0,0,0
2016-06-01 00:48:00,107401,0,0,0,0,1,0,0,0
2016-06-01 00:49:00,107402,0,0,0,0,1,0,0,0
2016-06-01 00:50:00,107403,0,0,0,0,1,0,0,0
2016-06-01 00:51:00,107404,0,0,0,0,1,0,0,0
2016-06-01 00:52:00,107405,0,0,0,0,1,0,0,0
2016-06-01 00:53:00,107406,0,0,0,0,1,0,0,0
2016-06-01 00:54:00,107407,0,0,0,0,1,0,0,0
2016-06-01 00:55:00,107408,0,0,0,0,1,0,0,0
2016-06-01 00:56:00,107409,0,0,0,0,1,0,0,0
2016-06-01 00:57:00,107410,0,0,0,0,1,0,0,0
2016-06-01 00:58:00,107411,0,0,0,0,1,0,0,0
2016-06-01 00:59:00,107412,0,0,0,0,1,0,0,0
2016-06-01 01:00:00,107413,0,0,0,0,1,0,0,0
