,counter(mins),Dos,scan44,scan11,nerisbotnet,blacklist,anomaly-udpscan,anomaly-sshscan,anomaly-spam
2016-05-30 00:00:00,104473,0,0,0,0,1,0,0,0
2016-05-30 00:01:00,104474,0,0,0,0,1,0,0,0
2016-05-30 00:02:00,104475,0,0,0,0,1,0,0,0
2016-05-30 00:03:00,104476,0,0,0,0,1,0,0,0
2016-05-30 00:04:00,104477,0,0,0,0,1,0,0,0
2016-05-30 00:05:00,104478,0,0,0,0,1,0,0,0
2016-05-30 00:06:00,104479,0,0,0,0,1,0,0,0
2016-05-30 00:07:00,104480,0,0,0,0,1,0,0,0
2016-05-30 00:08:00,104481,0,0,0,0,1,0,0,0
2016-05-30 00:09:00,104482,0,0,0,0,1,0,0,0
2016-05-30 00:10:00,104483,0,0,0,0,1,0,0,0
2016-05-30 00:11:00,104484,0,0,0,0,1,0,0,0
2016-05-30 00:12:00,104485,0,0,0,0,1,0,0,0
2016-05-30 00:13:00,104486,0,0,0,0,1,0,0,0
2016-05-30 00:14:00,104487,0,0,0,0,1,0,0,0
2016-05-30 00:15:00,104488,0,0,0,0,1,0,0,0
2016-05-30 00:16:00,104489,0,0,0,0,1,0,0,0
2016-05-30 00:17:00,104490,0,0,0,0,1,0,0,0
2016-05-30 00:18:00,104491,0,0,0,0,1,0,0,0
2016-05-30 00:19:00,104492,0,0,0,0,1,0,0,0
2016-05-30 00:20:00,104493,0,0,0,0,1,0,0,0
2016-05-30 00:21:00,104494,0,0,0,0,1,0,0,0
2016-05-30 00:22:00,104495,0,0,0,0,1,0,0,0
2016-05-30 00:23:00,104496,0,0,0,0,1,0,0,0
2016-05-30 00:24:00,104497,0,0,0,0,1,0,0,0
2016-05-30 00:25:00,104498,0,0,0,0,1,0,0,0
2016-05-30 00:26:00,104499,0,0,0,0,1,0,0,0
2016-05-30 00:27:00,104500,0,0,0,0,1,0,0,0
2016-05-30 00:28:00,104501,0,0,0,0,1,0,0,0
2016-05-30 00:29:00,104502,0,0,0,0,1,0,0,0
2016-05-30 00:30:00,104503,0,0,0,0,1,0,0,0
2016-05-30 00:31:00,104504,0,0,0,0,1,0,0,0
2016-05-30 00:32:00,104505,0,0,0,0,1,0,0,0
2016-05-30 00:33:00,104506,0,0,0,0,1,0,0,0
2016-05-30 00:34:00,104507,0,0,0,0,1,0,0,0
2016-05-30 00:35:00,104508,0,0,0,0,1,0,0,0
2016-05-30 00:36:00,104509,0,0,0,0,1,0,0,0
2016-05-30 00:37:00,104510,0,0,0,0,1,0,0,0
2016-05-30 00:38:00,104511,0,0,0,0,1,0,0,0
2016-05-30 00:39:00,104512,0,0,0,0,1,0,0,0
2016-05-30 00:40:00,104513,0,0,0,0,1,0,0,0
2016-05-30 00:41:00,104514,0,0,0,0,1,0,0,0
2016-05-30 00:42:00,104515,0,0,0,0,1,0,0,0
2016-05-30 00:43:00,104516,0,0,0,0,1,0,0,0
2016-05-30 00:44:00,104517,0,0,0,0,1,0,0,0
2016-05-30 00:45:00,104518,0,0,0,0,1,0,0,0
2016-05-30 00:46:00,104519,0,0,0,0,1,0,0,0
2016-05-30 00:47:00,104520,0,0,0,0,1,0,0,0
2016-05-30 00:48:00,104521,0,0,0,0,1,0,0,0
2016-05-30 00:49:00,104522,0,0,0,0,1,0,0,0
2016-05-30 00:50:00,104523,0,0,0,0,1,0,0,0
2016-05-30 00:51:00,104524,0,0,0,0,1,0,0,0
2016-05-30 00:52:00,104525,0,0,0,0,1,0,0,0
2016-05-30 00:53:00,104526,0,0,0,0,1,0,0,0
2016-05-30 00:54:00,104527,0,0,0,0,1,0,0,0
2016-05-30 00:55:00,104528,0,0,0,0,1,0,0,0
2016-05-30 00:56:00,104529,0,0,0,0,1,0,0,0
2016-05-30 00:57:00,104530,0,0,0,0,1,0,0,0
2016-05-30 00:58:00,104531,0,0,0,0,1,0,0,0
2016-05-30 00:59:00,104532,0,0,0,0,1,0,0,0
2016-05-30 01:00:00,104533,0,0,0,0,1,0,0,0
2016-05-30 01:01:00,104534,0,0,0,0,1,0,0,0
2016-05-30 01:02:00,104535,0,0,0,0,1,0,0,0
2016-05-30 01:03:00,104536,0,0,0,0,1,0,0,0
2016-05-30 01:04:00,104537,0,0,0,0,1,0,0,0
2016-05-30 01:05:00,104538,0,0,0,0,1,0,0,0
2016-05-30 01:06:00,104539,0,0,0,0,1,0,0,0
2016-05-30 01:07:00,104540,0,0,0,0,1,0,0,0
2016-05-30 01:08:00,104541,0,0,0,0,1,0,0,0
2016-05-30 01:09:00,104542,0,0,0,0,1,0,0,0
2016-05-30 01:10:00,104543,0,0,0,0,1,0,0,0
2016-05-30 01:11:00,104544,0,0,0,0,1,0,0,0
2016-05-30 01:12:00,104545,0,0,0,0,1,0,0,0
2016-05-30 01:13:00,104546,0,0,0,0,1,0,0,0
2016-05-30 01:14:00,104547,0,0,0,0,1,0,0,0
2016-05-30 01:15:00,104548,0,0,0,0,1,0,0,0
2016-05-30 01:16:00,104549,0,0,0,0,1,0,0,0
2016-05-30 01:17:00,104550,0,0,0,0,1,0,0,0
2016-05-30 01:18:00,104551,0,0,0,0,1,0,0,0
2016-05-30 01:19:00,104552,0,0,0,0,1,0,0,0
2016-05-30 01:20:00,104553,0,0,0,0,1,0,0,0
2016-05-30 01:21:00,104554,0,0,0,0,1,0,0,0
2016-05-30 01:22:00,104555,0,0,0,0,1,0,0,0
2016-05-30 01:23:00,104556,0,0,0,0,1,0,0,0
2016-05-30 01:24:00,104557,0,0,0,0,1,0,0,0
2016-05-30 01:25:00,104558,0,0,0,0,1,0,0,0
2016-05-30 01:26:00,104559,0,0,0,0,1,0,0,0
2016-05-30 01:27:00,104560,0,0,0,0,1,0,0,0
2016-05-30 01:28:00,104561,0,0,0,0,1,0,0,0
2016-05-30 01:29:00,104562,0,0,0,0,1,0,0,0
2016-05-30 01:30:00,104563,0,0,0,0,1,0,0,0
2016-05-30 01:31:00,104564,0,0,0,0,1,0,0,0
2016-05-30 01:32:00,104565,0,0,0,0,1,0,0,0
2016-05-30 01:33:00,104566,0,0,0,0,1,0,0,0
2016-05-30 01:34:00,104567,0,0,0,0,1,0,0,0
2016-05-30 01:35:00,104568,0,0,0,0,1,0,0,0
2016-05-30 01:36:00,104569,0,0,0,0,1,0,0,0
2016-05-30 01:37:00,104570,0,0,0,0,1,0,0,0
2016-05-30 01:38:00,104571,0,0,0,0,1,0,0,0
2016-05-30 01:39:00,104572,0,0,0,0,1,0,0,0
2016-05-30 01:40:00,104573,0,0,0,0,1,0,0,0
2016-05-30 01:41:00,104574,0,0,0,0,1,0,0,0
2016-05-30 01:42:00,104575,0,0,0,0,1,0,0,0
2016-05-30 01:43:00,104576,0,0,0,0,1,0,0,0
2016-05-30 01:44:00,104577,0,0,0,0,1,0,0,0
2016-05-30 01:45:00,104578,0,0,0,0,1,0,0,0
2016-05-30 01:46:00,104579,0,0,0,0,1,0,0,0
2016-05-30 01:47:00,104580,0,0,0,0,1,0,0,0
2016-05-30 01:48:00,104581,0,0,0,0,1,0,0,0
2016-05-30 01:49:00,104582,0,0,0,0,1,0,0,0
2016-05-30 01:50:00,104583,0,0,0,0,1,0,0,0
2016-05-30 01:51:00,104584,0,0,0,0,1,0,0,0
2016-05-30 01:52:00,104585,0,0,0,0,1,0,0,0
2016-05-30 01:53:00,104586,0,0,0,0,1,0,0,0
2016-05-30 01:54:00,104587,0,0,0,0,1,0,0,0
2016-05-30 01:55:00,104588,0,0,0,0,1,0,0,0
2016-05-30 01:56:00,104589,0,0,0,0,1,0,0,0
2016-05-30 01:57:00,104590,0,0,0,0,1,0,0,0
2016-05-30 01:58:00,104591,0,0,0,0,1,0,0,0
2016-05-30 01:59:00,104592,0,0,0,0,1,0,0,0
2016-05-30 02:00:00,104593,0,0,0,0,1,0,0,0
2016-05-30 02:01:00,104594,0,0,0,0,1,0,0,0
2016-05-30 02:02:00,104595,0,0,0,0,1,0,0,0
2016-05-30 02:03:00,104596,0,0,0,0,1,0,0,0
2016-05-30 02:04:00,104597,0,0,0,0,1,0,0,0
2016-05-30 02:05:00,104598,0,0,0,0,1,0,0,0
