,counter(mins),Dos,scan44,scan11,nerisbotnet,blacklist,anomaly-udpscan,anomaly-sshscan,anomaly-spam
2016-08-15 00:00:00,26542,0,0,0,0,1,0,0,1
2016-08-15 00:01:00,26543,0,0,0,0,1,0,0,1
2016-08-15 00:02:00,26544,0,0,0,0,1,0,0,1
2016-08-15 00:03:00,26545,0,0,0,0,1,0,0,1
2016-08-15 00:04:00,26546,0,0,0,0,1,0,0,1
2016-08-15 00:05:00,26547,0,0,0,0,1,0,0,1
2016-08-15 00:06:00,26548,0,0,0,0,1,0,0,1
2016-08-15 00:07:00,26549,0,0,0,0,1,0,0,1
2016-08-15 00:08:00,26550,0,0,0,0,1,0,0,1
2016-08-15 00:09:00,26551,0,0,0,0,1,0,0,1
2016-08-15 00:10:00,26552,0,0,0,0,1,0,0,1
2016-08-15 00:11:00,26553,0,0,0,0,1,0,0,1
2016-08-15 00:12:00,26554,0,0,0,0,1,0,0,1
2016-08-15 00:13:00,26555,0,0,0,0,1,0,0,1
2016-08-15 00:14:00,26556,0,0,0,0,1,0,0,0
2016-08-15 00:15:00,26557,0,0,0,0,1,0,0,1
2016-08-15 00:16:00,26558,0,0,0,0,1,0,0,0
2016-08-15 00:17:00,26559,0,0,0,0,1,0,0,1
2016-08-15 00:18:00,26560,0,0,0,0,1,0,0,0
2016-08-15 00:19:00,26561,0,0,0,0,1,0,0,1
2016-08-15 00:20:00,26562,0,0,0,0,1,0,0,1
2016-08-15 00:21:00,26563,0,0,0,0,1,0,0,1
2016-08-15 00:22:00,26564,0,0,0,0,1,0,0,1
2016-08-15 00:23:00,26565,0,0,0,0,1,0,0,1
2016-08-15 00:24:00,26566,0,0,0,0,1,0,0,1
2016-08-15 00:25:00,26567,0,0,0,0,1,0,0,1
2016-08-15 00:26:00,26568,0,0,0,0,1,0,0,1
2016-08-15 00:27:00,26569,0,0,0,0,1,0,0,1
2016-08-15 00:28:00,26570,0,0,0,0,1,0,0,1
2016-08-15 00:29:00,26571,0,0,0,0,1,0,0,1
2016-08-15 00:30:00,26572,0,0,0,0,1,0,0,1
2016-08-15 00:31:00,26573,0,0,0,0,1,0,0,1
2016-08-15 00:32:00,26574,0,0,0,0,1,0,0,1
2016-08-15 00:33:00,26575,0,0,0,0,1,0,0,1
2016-08-15 00:34:00,26576,0,0,0,0,1,0,0,1
2016-08-15 00:35:00,26577,0,0,0,0,1,0,0,1
2016-08-15 00:36:00,26578,0,0,0,0,1,0,0,1
2016-08-15 00:37:00,26579,0,0,0,0,1,0,0,1
2016-08-15 00:38:00,26580,0,0,0,0,1,0,0,1
2016-08-15 00:39:00,26581,0,0,0,0,1,0,0,1
2016-08-15 00:40:00,26582,0,0,0,0,1,0,0,1
2016-08-15 00:41:00,26583,0,0,0,0,1,0,0,1
2016-08-15 00:42:00,26584,0,0,0,0,1,0,0,1
2016-08-15 00:43:00,26585,0,0,0,0,1,0,0,1
2016-08-15 00:44:00,26586,0,0,0,0,1,0,0,1
2016-08-15 00:45:00,26587,0,0,0,0,1,0,0,1
2016-08-15 00:46:00,26588,0,0,0,0,1,0,0,1
2016-08-15 00:47:00,26589,0,0,0,0,1,0,0,1
2016-08-15 00:48:00,26590,0,0,0,0,1,0,0,1
2016-08-15 00:49:00,26591,0,0,0,0,1,0,0,1
2016-08-15 00:50:00,26592,0,0,0,0,1,0,0,1
2016-08-15 00:51:00,26593,0,0,0,0,1,0,0,1
2016-08-15 00:52:00,26594,0,0,0,0,1,0,0,1
2016-08-15 00:53:00,26595,0,0,0,0,1,0,0,1
2016-08-15 00:54:00,26596,0,0,0,0,1,0,0,1
2016-08-15 00:55:00,26597,0,0,0,0,1,0,0,1
2016-08-15 00:56:00,26598,0,0,0,0,1,0,0,1
2016-08-15 00:57:00,26599,0,0,0,0,1,0,0,1
2016-08-15 00:58:00,26600,0,0,0,0,1,0,0,1
2016-08-15 00:59:00,26601,0,0,0,0,1,0,0,1
2016-08-15 01:00:00,26602,0,0,0,0,1,0,0,1
2016-08-15 01:01:00,26603,0,0,0,0,1,0,0,1
2016-08-15 01:02:00,26604,0,0,0,0,1,0,0,1
2016-08-15 01:03:00,26605,0,0,0,0,1,0,0,1
2016-08-15 01:04:00,26606,0,0,0,0,1,0,0,1
2016-08-15 01:05:00,26607,0,0,0,0,1,0,0,1
2016-08-15 01:06:00,26608,0,0,0,0,1,0,0,1
2016-08-15 01:07:00,26609,0,0,0,0,1,0,0,1
2016-08-15 01:08:00,26610,0,0,0,0,1,0,0,1
2016-08-15 01:09:00,26611,0,0,0,0,1,0,0,1
2016-08-15 01:10:00,26612,0,0,0,0,1,0,0,1
